,business_date,store,the_chat_id,hour,business_date_2,Legend
77,2022-04-19,BLUE SPRINGS 22445,1001,18,2022-04-19,Cumulative Live Stores
78,2022-04-20,BLUE SPRINGS 22445,997,18,2022-04-19,Cumulative Live Stores
79,2022-04-21,BLUE SPRINGS 22445,1085,18,2022-04-19,Cumulative Live Stores
80,2022-04-22,BLUE SPRINGS 22445,1142,18,2022-04-19,Cumulative Live Stores
81,2022-04-23,BLUE SPRINGS 22445,958,18,2022-04-19,Cumulative Live Stores
82,2022-04-24,BLUE SPRINGS 22445,890,18,2022-04-19,Cumulative Live Stores
83,2022-04-25,BLUE SPRINGS 22445,942,18,2022-04-19,Cumulative Live Stores
84,2022-04-26,BLUE SPRINGS 22445,1062,18,2022-04-19,Cumulative Live Stores
85,2022-04-27,BLUE SPRINGS 22445,1050,18,2022-04-19,Cumulative Live Stores
86,2022-04-28,BLUE SPRINGS 22445,1136,18,2022-04-19,Cumulative Live Stores
87,2022-04-29,BLUE SPRINGS 22445,1061,18,2022-04-19,Cumulative Live Stores
88,2022-04-30,BLUE SPRINGS 22445,970,18,2022-04-19,Cumulative Live Stores
89,2022-05-01,BLUE SPRINGS 22445,924,18,2022-04-19,Cumulative Live Stores
90,2022-05-02,BLUE SPRINGS 22445,909,18,2022-04-19,Cumulative Live Stores
91,2022-05-03,BLUE SPRINGS 22445,994,18,2022-04-19,Cumulative Live Stores
92,2022-05-04,BLUE SPRINGS 22445,1020,18,2022-04-19,Cumulative Live Stores
93,2022-05-05,BLUE SPRINGS 22445,1048,18,2022-04-19,Cumulative Live Stores
94,2022-05-06,BLUE SPRINGS 22445,829,19,2022-04-19,Cumulative Live Stores
95,2022-05-07,BLUE SPRINGS 22445,995,19,2022-04-19,Cumulative Live Stores
96,2022-05-08,BLUE SPRINGS 22445,824,18,2022-04-19,Cumulative Live Stores
97,2022-05-09,BLUE SPRINGS 22445,1028,18,2022-04-19,Cumulative Live Stores
98,2022-05-10,BLUE SPRINGS 22445,1020,18,2022-04-19,Cumulative Live Stores
99,2022-05-11,BLUE SPRINGS 22445,1022,18,2022-04-19,Cumulative Live Stores
100,2022-05-12,BLUE SPRINGS 22445,1099,18,2022-04-19,Cumulative Live Stores
101,2022-05-13,BLUE SPRINGS 22445,1099,18,2022-04-19,Cumulative Live Stores
102,2022-05-14,BLUE SPRINGS 22445,1017,18,2022-04-19,Cumulative Live Stores
103,2022-05-15,BLUE SPRINGS 22445,831,18,2022-04-19,Cumulative Live Stores
104,2022-05-16,BLUE SPRINGS 22445,975,18,2022-04-19,Cumulative Live Stores
105,2022-05-17,BLUE SPRINGS 22445,999,18,2022-04-19,Cumulative Live Stores
