,business_date,store,the_chat_id,hour,business_date_2,Legend
77,2022-04-19,BLUE SPRINGS 22445,1001,18,2022-04-19,Live Today
78,2022-04-20,BLUE SPRINGS 22445,997,18,2022-04-19,Live Today
79,2022-04-21,BLUE SPRINGS 22445,1085,18,2022-04-19,Live Today
80,2022-04-22,BLUE SPRINGS 22445,1142,18,2022-04-19,Live Today
81,2022-04-23,BLUE SPRINGS 22445,958,18,2022-04-19,Live Today
82,2022-04-24,BLUE SPRINGS 22445,890,18,2022-04-19,Live Today
83,2022-04-25,BLUE SPRINGS 22445,942,18,2022-04-19,Live Today
84,2022-04-26,BLUE SPRINGS 22445,1062,18,2022-04-19,Live Today
85,2022-04-27,BLUE SPRINGS 22445,1050,18,2022-04-19,Live Today
86,2022-04-28,BLUE SPRINGS 22445,1136,18,2022-04-19,Live Today
87,2022-04-29,BLUE SPRINGS 22445,1061,18,2022-04-19,Live Today
88,2022-04-30,BLUE SPRINGS 22445,970,18,2022-04-19,Live Today
89,2022-05-01,BLUE SPRINGS 22445,924,18,2022-04-19,Live Today
90,2022-05-02,BLUE SPRINGS 22445,909,18,2022-04-19,Live Today
91,2022-05-03,BLUE SPRINGS 22445,994,18,2022-04-19,Live Today
92,2022-05-04,BLUE SPRINGS 22445,1020,18,2022-04-19,Live Today
93,2022-05-05,BLUE SPRINGS 22445,1048,18,2022-04-19,Live Today
94,2022-05-06,BLUE SPRINGS 22445,829,19,2022-04-19,Live Today
95,2022-05-07,BLUE SPRINGS 22445,995,19,2022-04-19,Live Today
96,2022-05-08,BLUE SPRINGS 22445,824,18,2022-04-19,Live Today
97,2022-05-09,BLUE SPRINGS 22445,1028,18,2022-04-19,Live Today
98,2022-05-10,BLUE SPRINGS 22445,1020,18,2022-04-19,Live Today
99,2022-05-11,BLUE SPRINGS 22445,1022,18,2022-04-19,Live Today
100,2022-05-12,BLUE SPRINGS 22445,1099,18,2022-04-19,Live Today
101,2022-05-13,BLUE SPRINGS 22445,1099,18,2022-04-19,Live Today
102,2022-05-14,BLUE SPRINGS 22445,1017,18,2022-04-19,Live Today
103,2022-05-15,BLUE SPRINGS 22445,831,18,2022-04-19,Live Today
104,2022-05-16,BLUE SPRINGS 22445,975,18,2022-04-19,Live Today
105,2022-05-17,BLUE SPRINGS 22445,999,18,2022-04-19,Live Today
106,2022-05-18,BLUE SPRINGS 22445,1037,18,2022-04-19,Live Today
107,2022-05-19,BLUE SPRINGS 22445,1026,18,2022-04-19,Live Today
108,2022-05-20,BLUE SPRINGS 22445,1025,17,2022-04-19,Live Today
109,2022-05-21,BLUE SPRINGS 22445,936,18,2022-04-19,Live Today
110,2022-05-22,BLUE SPRINGS 22445,828,18,2022-04-19,Live Today
111,2022-05-23,BLUE SPRINGS 22445,962,18,2022-04-19,Live Today
112,2022-05-24,BLUE SPRINGS 22445,912,18,2022-04-19,Live Today
113,2022-05-25,BLUE SPRINGS 22445,945,18,2022-04-19,Live Today
114,2022-05-26,BLUE SPRINGS 22445,990,18,2022-04-19,Live Today
115,2022-05-27,BLUE SPRINGS 22445,1057,18,2022-04-19,Live Today
116,2022-05-28,BLUE SPRINGS 22445,850,17,2022-04-19,Live Today
117,2022-05-29,BLUE SPRINGS 22445,829,18,2022-04-19,Live Today
118,2022-05-30,BLUE SPRINGS 22445,766,18,2022-04-19,Live Today
119,2022-05-31,BLUE SPRINGS 22445,861,18,2022-04-19,Live Today
120,2022-06-01,BLUE SPRINGS 22445,939,18,2022-04-19,Live Today
121,2022-06-02,BLUE SPRINGS 22445,977,18,2022-04-19,Live Today
122,2022-06-03,BLUE SPRINGS 22445,1025,18,2022-04-19,Live Today
123,2022-06-04,BLUE SPRINGS 22445,922,18,2022-04-19,Live Today
124,2022-06-05,BLUE SPRINGS 22445,819,18,2022-04-19,Live Today
125,2022-06-06,BLUE SPRINGS 22445,936,18,2022-04-19,Live Today
126,2022-06-07,BLUE SPRINGS 22445,993,18,2022-04-19,Live Today
127,2022-06-08,BLUE SPRINGS 22445,1067,18,2022-04-19,Live Today
128,2022-06-09,BLUE SPRINGS 22445,1027,18,2022-04-19,Live Today
129,2022-06-10,BLUE SPRINGS 22445,1028,18,2022-04-19,Live Today
